id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
13092,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,0,1,2.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13093,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13094,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13095,Passo Fundo,,1695919630,1695919630,33,33,0,0,0,0,0,NULL,NULL,NULL,0,1,5.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13096,Passo Fundo,,1695146126,1697670116,42,13,0,0,0,0,0,NULL,NULL,NULL,29,8,8.2000,NULL,NULL,8,4,4,27,40,0,1,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13097,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13098,Passo Fundo,,1695147904,1695148627,42,42,0,0,0,0,0,NULL,NULL,NULL,0,1,15.0000,NULL,NULL,1,1,1,3,3,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13099,Passo Fundo,,1695245795,1695245795,41,41,0,0,0,0,0,NULL,NULL,NULL,0,1,2.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13100,Passo Fundo,,0,0,19662,19662,0,0,0,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
13101,Passo Fundo,,1695924628,1697836475,33,11,0,0,0,0,2,3318.0000,3318.0000,NULL,22,2,6.9130,NULL,NULL,2,1,1,7,73,60,44,12,1,0.920000000,0.0909,0.0909,2,61,0.9000000000000,0,NULL,NULL
